Country,Year,Attack Type,Target Industry,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Financial Loss (in Million $),Incident Resolution Time (in Ho,Number of Affected Users,Region,Incident Cost Per User ($),Attack Velocity (Per Hour),Financial Loss Score,Resolution Speed Score,User Impact Score,Overal Severity Score,Attack Complexity Score,Vulnerability Complexity Score,Overall Complexity Score,Geopolitical Risk Score
Australia,2016,Malware,Telecommunications,Insider,Social Engineering,Firewall,45.9,1,83323,Oceania,550.87,83323,1,1,1,1,2,1,2,1
India,2022,Malware,Telecommunications,Hacker Group,Zero-day,VPN,107.36,1,300663,South Asia,357.08,300663,1,1,2,1,2,3,3,4
Japan,2022,Malware,Education,Nation-state,Social Engineering,Encryption,44.01,1,172092,East Asia,255.74,172092,1,1,1,1,2,1,2,2
Japan,2019,SQL Injection,IT,Unknown,Social Engineering,Encryption,20.51,2,89266,East Asia,229.76,44633,1,1,1,1,3,1,2,2
UK,2019,Man-in-the-Middle,Banking,Unknown,Weak Passwords,Antivirus,41.15,2,127729,Northern Europe,322.17,63865,1,1,1,1,3,1,2,2
USA,2019,Malware,Education,Nation-state,Unpatched Software,VPN,73.92,2,262039,Northern America,282.1,131020,1,1,2,1,2,2,2,3
Russia,2015,Malware,Government,Unknown,Zero-day,Firewall,46.62,2,64039,Eastern Europe,727.99,32020,1,1,1,1,2,3,3,5
UK,2023,SQL Injection,Telecommunications,Unknown,Zero-day,Encryption,2.84,2,134531,Northern Europe,21.11,67266,1,1,1,1,3,3,3,2
Germany,2022,Man-in-the-Middle,Healthcare,Nation-state,Unpatched Software,Encryption,64.85,3,210752,Western Europe,307.71,70251,1,1,1,1,3,2,3,2
Japan,2020,SQL Injection,Banking,Nation-state,Weak Passwords,Encryption,85.73,3,141168,East Asia,607.29,47056,1,1,1,1,3,1,2,2
India,2022,SQL Injection,Healthcare,Unknown,Zero-day,AI-based Detection,42.63,3,168727,South Asia,252.66,56242,1,1,1,1,3,3,3,4
UK,2022,Phishing,Government,Unknown,Zero-day,Antivirus,24.46,2,227676,Northern Europe,107.43,113838,1,1,2,1,1,3,2,2
Japan,2022,SQL Injection,Banking,Insider,Zero-day,Encryption,37.09,4,136628,East Asia,271.47,34157,1,1,1,1,3,3,3,2
India,2016,Man-in-the-Middle,IT,Unknown,Unpatched Software,Antivirus,39.12,4,97912,South Asia,399.54,24478,1,1,1,1,3,2,3,4
China,2023,Man-in-the-Middle,Telecommunications,Hacker Group,Zero-day,AI-based Detection,34.18,5,246180,East Asia,138.84,49236,1,1,2,1,3,3,3,4
UK,2016,Malware,Telecommunications,Insider,Zero-day,Encryption,50,5,129312,Northern Europe,386.66,25862,1,1,1,1,2,3,3,2
China,2022,Malware,Education,Insider,Social Engineering,Antivirus,38.84,5,255888,East Asia,151.79,51178,1,1,2,1,2,1,2,4
France,2015,Phishing,Retail,Insider,Unpatched Software,Encryption,25.49,5,67913,Western Europe,375.33,13583,1,1,1,1,1,2,2,2
Japan,2021,Phishing,Retail,Nation-state,Zero-day,Firewall,43.63,5,176929,East Asia,246.6,35386,1,1,1,1,1,3,2,2
France,2022,Malware,Education,Unknown,Social Engineering,Firewall,14.18,5,146045,Western Europe,97.09,29209,1,1,1,1,2,1,2,2
Australia,2015,Phishing,Telecommunications,Hacker Group,Unpatched Software,Firewall,52.93,6,99690,Oceania,530.95,16615,1,1,1,1,1,2,2,1
Russia,2018,Malware,Healthcare,Unknown,Social Engineering,Encryption,63.34,6,178427,Eastern Europe,354.99,29738,1,1,1,1,2,1,2,5
Germany,2019,SQL Injection,Government,Unknown,Social Engineering,Encryption,25.35,6,69347,Western Europe,365.55,11558,1,1,1,1,3,1,2,2
Germany,2017,SQL Injection,Retail,Insider,Weak Passwords,AI-based Detection,15.69,6,38628,Western Europe,406.18,6438,1,1,1,1,3,1,2,2
Australia,2020,SQL Injection,Telecommunications,Unknown,Unpatched Software,AI-based Detection,18.15,6,71651,Oceania,253.31,11942,1,1,1,1,3,2,3,1
Germany,2019,Man-in-the-Middle,Government,Hacker Group,Unpatched Software,VPN,23.47,7,86849,Western Europe,270.24,12407,1,1,1,1,3,2,3,2
Australia,2020,SQL Injection,IT,Unknown,Weak Passwords,VPN,28.1,7,103092,Oceania,272.57,14727,1,1,1,1,3,1,2,1
Russia,2024,SQL Injection,Education,Insider,Weak Passwords,AI-based Detection,21.42,7,140746,Eastern Europe,152.19,20107,1,1,1,1,3,1,2,5
Russia,2020,Man-in-the-Middle,Government,Unknown,Zero-day,Firewall,19.79,7,108450,Eastern Europe,182.48,15493,1,1,1,1,3,3,3,5
France,2021,Phishing,Retail,Insider,Social Engineering,Firewall,42.12,7,199983,Western Europe,210.62,28569,1,1,1,1,1,1,1,2
India,2020,Phishing,Education,Hacker Group,Zero-day,Antivirus,63.57,7,213581,South Asia,297.64,30512,1,1,1,1,1,3,2,4
India,2024,Man-in-the-Middle,IT,Unknown,Zero-day,Firewall,23.67,7,217274,South Asia,108.94,31039,1,1,1,1,3,3,3,4
India,2022,Malware,Education,Insider,Unpatched Software,Encryption,64.32,7,244506,South Asia,263.06,34929,1,1,2,1,2,2,2,4
USA,2021,Man-in-the-Middle,Banking,Unknown,Unpatched Software,Firewall,19.02,7,196287,Northern America,96.9,28041,1,1,1,1,3,2,3,3
Japan,2020,Man-in-the-Middle,Banking,Insider,Unpatched Software,Antivirus,89.58,7,154797,East Asia,578.69,22114,1,1,1,1,3,2,3,2
USA,2017,SQL Injection,Banking,Unknown,Social Engineering,AI-based Detection,28.65,7,123020,Northern America,232.89,17574,1,1,1,1,3,1,2,3
India,2016,SQL Injection,IT,Unknown,Weak Passwords,Encryption,38.78,7,94640,South Asia,409.76,13520,1,1,1,1,3,1,2,4
China,2020,SQL Injection,Healthcare,Unknown,Zero-day,Antivirus,26.71,7,181532,East Asia,147.14,25933,1,1,1,1,3,3,3,4
Brazil,2024,Malware,Government,Unknown,Weak Passwords,Encryption,42,7,197437,South America,212.73,28205,1,1,1,1,2,1,2,3
Australia,2021,Man-in-the-Middle,Healthcare,Unknown,Weak Passwords,Antivirus,55,7,125256,Oceania,439.1,17894,1,1,1,1,3,1,2,1
France,2016,SQL Injection,Healthcare,Hacker Group,Weak Passwords,Encryption,80.99,8,76372,Western Europe,1060.47,9547,1,1,1,1,3,1,2,2
Germany,2017,Phishing,Healthcare,Insider,Weak Passwords,Encryption,77.92,8,190788,Western Europe,408.41,23849,1,1,1,1,1,1,1,2
India,2023,SQL Injection,Government,Unknown,Zero-day,VPN,33.11,8,154928,South Asia,213.71,19366,1,1,1,1,3,3,3,4
Germany,2021,SQL Injection,Retail,Nation-state,Zero-day,Antivirus,26.18,8,113610,Western Europe,230.44,14201,1,1,1,1,3,3,3,2
Australia,2019,Phishing,Retail,Insider,Zero-day,Antivirus,41.09,8,154928,Oceania,265.22,19366,1,1,1,1,1,3,2,1
Japan,2024,Man-in-the-Middle,Retail,Insider,Unpatched Software,AI-based Detection,17.06,8,134285,East Asia,127.04,16786,1,1,1,1,3,2,3,2
Germany,2017,SQL Injection,Education,Insider,Unpatched Software,Firewall,24.73,9,38886,Western Europe,635.96,4321,1,1,1,1,3,2,3,2
India,2015,SQL Injection,IT,Unknown,Unpatched Software,Encryption,24.02,9,67511,South Asia,355.79,7501,1,1,1,1,3,2,3,4
China,2022,Man-in-the-Middle,Healthcare,Unknown,Weak Passwords,Firewall,25.42,9,233639,East Asia,108.8,25960,1,1,2,1,3,1,2,4
UK,2018,SQL Injection,Telecommunications,Hacker Group,Zero-day,VPN,66.9,9,116620,Northern Europe,573.66,12958,1,1,1,1,3,3,3,2
China,2023,Phishing,Banking,Nation-state,Unpatched Software,Antivirus,100.14,9,412275,East Asia,242.9,45808,1,1,2,1,1,2,2,4
